no,ci_rotsf.,ci_rsf.,ci_cox.,ci_gbm
183,0.75952381,0.78452381,0.79047619,0.753571429
184,0.823178017,0.814814815,0.812425329,0.801435407
185,0.837138508,0.831050228,0.829528158,0.809741248
186,0.896121884,0.851800554,0.833795014,0.818559557
187,0.872108844,0.857142857,0.889795918,0.812244898
188,0.862745098,0.866666667,0.811764706,0.854901961
189,0.795983087,0.82769556,0.808668076,0.789640592
190,0.813163482,0.809978769,0.825902335,0.77388535
191,0.839898348,0.810673443,0.75476493,0.785260483
192,0.840228245,0.867332382,0.828815977,0.817403709
193,0.804580153,0.81221374,0.774045802,0.752671756
194,0.897569444,0.859375,0.873263889,0.885416667
195,0.798353909,0.762688615,0.668038409,0.78600823
196,0.829436039,0.826685007,0.81568088,0.833562586
197,0.859452736,0.868159204,0.855721393,0.839552239
198,0.845671267,0.82685069,0.815558344,0.7804266
199,0.853550296,0.818047337,0.829881657,0.803254438
200,0.749568221,0.753022453,0.74611399,0.718480138
201,0.885583524,0.8798627,0.881006865,0.863844394
202,0.872687704,0.84874864,0.86289445,0.837867247
203,0.77675033,0.809775429,0.795244386,0.743725231
204,0.876803552,0.860155383,0.859045505,0.850166482
205,0.87279597,0.85768262,0.816120907,0.841309824
206,0.816939891,0.827868852,0.819672131,0.799180328
207,0.774557166,0.766505636,0.774557166,0.740740741
208,0.892682927,0.879674797,0.884552846,0.871544715
209,0.849865952,0.844504021,0.839142091,0.827077748
210,0.852404643,0.839137645,0.829187396,0.794361526
211,0.863235294,0.832352941,0.820588235,0.811764706
212,0.802614379,0.802614379,0.764705882,0.776470588
213,0.886462882,0.885007278,0.863173217,0.886462882
214,0.840314136,0.844240838,0.795811518,0.815445026
215,0.808259587,0.803834808,0.836283186,0.753323486
216,0.788043478,0.77173913,0.829710145,0.78442029
217,0.792607803,0.800821355,0.798767967,0.73100616
218,0.807228916,0.788487282,0.780455154,0.788487282
219,0.818073722,0.820451843,0.824019025,0.79548157
220,0.834378921,0.810539523,0.801756587,0.796737767
221,0.863684771,0.839190628,0.861554846,0.837060703
222,0.815047022,0.826541275,0.829676071,0.791013584
223,0.815508021,0.827540107,0.820855615,0.766042781
224,0.857687421,0.843710292,0.837357052,0.811944091
225,0.865753425,0.868493151,0.883561644,0.782191781
226,0.895174709,0.918469218,0.840266223,0.883527454
227,0.806213018,0.800295858,0.795857988,0.782544379
228,0.858944954,0.854357798,0.799311927,0.814220183
229,0.887012987,0.880519481,0.862337662,0.862337662
230,0.790140845,0.784507042,0.791549296,0.75915493
231,0.906077348,0.872928177,0.882596685,0.820441989
232,0.780453258,0.746458924,0.742209632,0.723796034
233,0.794270833,0.7890625,0.747395833,0.768229167
234,0.877708978,0.868421053,0.868421053,0.873065015
235,0.895377129,0.869829684,0.828467153,0.866180049
236,0.801360544,0.832653061,0.802721088,0.791836735
237,0.776595745,0.776595745,0.795744681,0.736170213
238,0.82161235,0.849056604,0.831903945,0.790737564
239,0.842776204,0.848441926,0.848441926,0.807365439
240,0.79076087,0.788043478,0.737771739,0.737771739
241,0.81233244,0.81233244,0.806970509,0.806970509
242,0.842242503,0.842242503,0.777053455,0.808093995
243,0.861778846,0.871394231,0.822115385,0.847355769
244,0.827004219,0.832630098,0.843881857,0.786216596
245,0.768472906,0.795566502,0.78817734,0.693349754
246,0.827423168,0.827423168,0.799054374,0.78250591
247,0.812233286,0.812233286,0.80227596,0.769559033
248,0.898389095,0.883519207,0.862453532,0.859975217
249,0.902531646,0.889873418,0.870886076,0.85443038
250,0.877310924,0.872268908,0.862184874,0.820168067
251,0.825373134,0.832835821,0.844776119,0.844776119
252,0.904181185,0.881533101,0.900696864,0.869337979
253,0.857541899,0.850558659,0.815642458,0.796089385
254,0.804210526,0.814736842,0.856842105,0.797894737
255,0.901910828,0.891719745,0.876433121,0.859872611
256,0.825878594,0.867412141,0.854632588,0.81629393
257,0.848263254,0.857404022,0.864716636,0.826325411
258,0.779156328,0.813895782,0.828784119,0.760545906
259,0.85440613,0.864623244,0.842911877,0.824808184
260,0.847772277,0.827970297,0.778465347,0.815594059
261,0.822222222,0.839215686,0.877124183,0.815445026
262,0.851485149,0.862623762,0.856435644,0.820544554
263,0.788203753,0.766756032,0.802949062,0.762734584
264,0.86299435,0.868644068,0.854519774,0.790960452
265,0.855572998,0.868131868,0.8288854,0.836734694
266,0.877245509,0.880239521,0.880239521,0.820359281
267,0.80952381,0.816137566,0.822751323,0.765873016
268,0.876265467,0.885264342,0.844769404,0.871766029
269,0.810513447,0.806845966,0.78606357,0.797066015
270,0.883426966,0.844101124,0.873595506,0.866573034
271,0.824691358,0.811111111,0.844444444,0.814814815
272,0.82527881,0.840148699,0.795539033,0.796778191
273,0.89163722,0.871613663,0.868080094,0.868080094
274,0.910764873,0.875354108,0.831444759,0.862606232
275,0.824053452,0.815144766,0.85077951,0.775055679
276,0.878571429,0.897142857,0.925714286,0.854285714
277,0.853887399,0.845844504,0.841823056,0.796246649
278,0.856950067,0.892037787,0.890688259,0.844804318
279,0.862569832,0.832402235,0.859217877,0.837988827
280,0.870264064,0.872560276,0.856486797,0.845005741
281,0.856148492,0.866589327,0.824825986,0.845707657
282,0.837583893,0.808053691,0.793288591,0.767785235
283,0.833333333,0.855889724,0.830827068,0.803258145
284,0.881028939,0.879421222,0.863344051,0.855305466
285,0.863131936,0.876695438,0.839704069,0.849568434
286,0.728715729,0.74025974,0.74025974,0.734487734
287,0.878746594,0.839237057,0.836512262,0.833787466
288,0.819322459,0.8293601,0.776662484,0.814303639
289,0.805555556,0.841503268,0.846405229,0.781045752
290,0.84964539,0.839716312,0.795744681,0.841134752
291,0.781357883,0.814729574,0.785960875,0.780207135
292,0.803185438,0.796359499,0.769055745,0.74516496
293,0.816622691,0.794195251,0.788918206,0.791556728
294,0.843312102,0.861146497,0.867515924,0.850955414
295,0.840909091,0.837809917,0.819214876,0.805584281
296,0.885630499,0.909090909,0.868035191,0.881231672
297,0.751445087,0.768786127,0.777456647,0.771676301
298,0.779761905,0.803571429,0.830357143,0.796130952
299,0.803548796,0.799746515,0.769328264,0.741444867
300,0.795665635,0.76625387,0.747678019,0.750773994
