"","RotSFPLS","RotSFPCA","RSFL","RSFMax","RSFCI","NOBJ","CoxLasso","CoxRidge","CoxBoost","RotSFPLS","RotSFPCA","RSFL","RSFMax","RSFCI","NOBJ","CoxLasso","CoxRidge","CoxBoost"
"1",0.540139800889642,0.488032196568524,0.47680576149121,0.496504977758949,0.466426604532938,0.504765939419614,NA,NA,0.521287862740945,0.131021936399115,0.131726807527364,0.146005104786058,0.138368024857204,0.14290022222029,0.13257491020686,NA,NA,0.138147823498661
"2",0.575991756826378,0.486175510905032,0.485832045337455,0.492701356688992,0.493388287824146,0.538382277176713,0.511591962905719,0.552292632663575,0.557959814528594,0.138651937181427,0.124502890024124,0.143971019338356,0.13543393910914,0.145577890696292,0.123502965110472,0.123260201876491,0.124369126764896,0.12979022822346
"3",0.506901157613535,0.484639358860196,0.423642030276046,0.515360641139804,0.477070347284061,0.522929652715939,NA,0.52493321460374,0.5,0.138957586451903,0.139870327868619,0.151842579045582,0.143795475813344,0.148585606577443,0.14401737520595,NA,0.137172847892372,0.154236700359072
"4",0.490541207435433,0.519822339200526,0.513735811811153,0.467017601579207,0.501891758512913,0.533640401381806,NA,0.52146734660306,0.464385589735154,0.140502564376799,0.124395245931282,0.146084379067534,0.136906052953688,0.146543684085088,0.124067596882646,NA,0.124785300939654,0.133984920234436
"5",0.479728380267625,0.513880567205912,0.456560814859197,0.495106850409427,0.517475534252047,0.51368084681446,0.469143199520671,0.509286998202516,0.46295186738566,0.131372412184745,0.123748445998621,0.142147887400573,0.133858293327073,0.140592385764363,0.12428138614069,0.124988826167379,0.125773994710207,0.131355125220416
"6",0.569200430261743,0.497131588382933,0.433488705629258,0.480100394406597,0.536213696665471,0.505736823234134,0.486554320544998,0.557188956615274,0.512370025098602,0.132740528063671,0.130001610477557,0.14550801088956,0.137420716930035,0.144673615152234,0.131214808269859,0.132270471302699,0.128479872772272,0.149062772772813
"7",0.541421800947867,0.462369668246445,0.448530805687204,0.506161137440758,0.509383886255924,0.506161137440758,0.467488151658768,0.501990521327014,0.53345971563981,0.140108412980719,0.129163672567252,0.144969320206321,0.137888886457546,0.145090741220247,0.129434903051707,0.134413036449805,0.13239676850361,0.14696061055999
"8",0.540808543096873,0.472730739893211,0.442219679633867,0.512204424103738,0.433066361556064,0.507055682684973,0.462051868802441,0.515064836003051,0.47883295194508,0.122874057978564,0.123239908393044,0.142838221927634,0.132611024522548,0.140324143129269,0.124087470502499,0.123647435811466,0.122145754691998,0.132880491971842
"9",0.509409594095941,0.479151291512915,0.448154981549816,0.551291512915129,0.502214022140221,0.583025830258303,NA,0.545571955719557,0.553505535055351,0.132636023800244,0.124036756654521,0.142173464717337,0.131839046414635,0.140672467228119,0.123254049749709,NA,0.126279893843167,0.143191623592589
"10",0.539787028073572,0.511713455953533,0.494482090997096,0.52081316553727,0.50242013552759,0.512487899322362,0.452081316553727,NA,0.472216844143272,0.137486080375578,0.134762107889187,0.149267140105008,0.142602976215609,0.146183975751414,0.136758412312295,0.136469082742191,NA,0.147210784636776
